"","Name","Count"
"1","AMELIA",28170
"2","OLIVIA",23698
"3","EMILY",19936
"4","JESSICA",17588
"5","AVA",17560
"6","ISLA",17362
"7","LILY",17122
"8","SOPHIE",16116
"9","ISABELLA",15966
"10","POPPY",15646
"11","MIA",15432
"12","GRACE",15121
"13","RUBY",14691
"14","EVIE",14625
"15","SOPHIA",13776
"16","ELLA",13557
"17","CHLOE",12897
"18","ISABELLE",11960
"19","FREYA",11696
"20","SCARLETT",11522
"21","DAISY",10905
"22","CHARLOTTE",10891
"23","PHOEBE",10005
"24","SIENNA",9536
"25","LUCY",9008
"26","EVA",8960
"27","MILLIE",8873
"28","ALICE",8669
"29","FLORENCE",8417
"30","LOLA",8124
"31","HOLLY",8064
"32","LAYLA",7983
"33","IMOGEN",7706
"34","SOFIA",7527
"35","MAISIE",7487
"36","LILLY",7370
"37","MATILDA",7169
"38","ELLIE",7162
"39","ELIZABETH",6935
"40","ERIN",6915
"41","MOLLY",6789
"42","ROSIE",6634
"43","EVELYN",6408
"44","ABIGAIL",6312
"45","SUMMER",6271
"46","HANNAH",6213
"47","JASMINE",6211
"48","MEGAN",5959
"49","MAYA",5818
"50","ELSIE",5778
"51","LEXI",5539
"52","EMMA",5503
"53","GEORGIA",5358
"54","AMELIE",5349
"55","EMILIA",5343
"56","AMBER",5302
"57","ELIZA",5294
"58","LACEY",5281
"59","ESME",5254
"60","ELEANOR",5231
"61","WILLOW",5188
"62","GRACIE",5067
"63","BELLA",5053
"64","HARRIET",4819
"65","ANNABELLE",4734
"66","BROOKE",4338
"67","ROSE",4267
"68","IVY",4188
"69","ANNA",4170
"70","LEAH",4097
"71","ZARA",4093
"72","AMY",4091
"73","KATIE",3990
"74","MARTHA",3924
"75","HOLLIE",3882
"76","BETHANY",3787
"77","FAITH",3708
"78","MARYAM",3476
"79","JULIA",3421
"80","VIOLET",3410
"81","ISABEL",3402
"82","MARIA",3369
"83","HEIDI",3236
"84","FRANCESCA",3210
"85","MADISON",3191
"86","DARCEY",3180
"87","MOLLIE",3168
"88","PAIGE",3166
"89","AISHA",3151
"90","MADDISON",3103
"91","NIAMH",3080
"92","ZOE",3028
"93","SARAH",3011
"94","SKYE",2998
"95","ISOBEL",2979
"96","LYDIA",2883
"97","DARCIE",2873
"98","VICTORIA",2872
"99","SARA",2871
"100","DARCY",2848
"101","LOTTIE",2834
"102","NANCY",2789
"103","TILLY",2776
"104","BEATRICE",2757
"105","ELOISE",2620
"106","ALEXANDRA",2604
"107","THEA",2595
"108","KEIRA",2579
"109","FATIMA",2526
"110","CAITLIN",2516
"111","REBECCA",2502
"112","MYA",2468
"113","ALEXIS",2451
"114","LARA",2444
"115","IRIS",2437
"116","LAUREN",2430
"117","NEVAEH",2428
"118","LEXIE",2407
"119","SEREN",2399
"120","ROBYN",2348
"121","GABRIELLA",2326
"122","ANNABEL",2314
"123","AALIYAH",2290
"124","ANNIE",2263
"125","PENELOPE",2249
"126","LYLA",2240
"127","NICOLE",2206
"128","MILA",2193
"129","HARPER",2140
"130","LIBBY",2137
"131","ORLA",2084
"132","SAVANNAH",2072
"133","LOIS",2065
"134","ZAINAB",2054
"135","LENA",2051
"136","LAILA",2019
"137","TIA",1985
"138","EVE",1974
"139","CLARA",1970
"140","EDEN",1969
"141","LILLIE",1939
"142","MAJA",1920
"143","NAOMI",1913
"144","LAURA",1908
"145","FELICITY",1893
"146","ARABELLA",1881
"147","ALISHA",1876
"148","NATALIA",1871
"149","HOPE",1868
"150","LEILA",1838
"151","KAYLA",1828
"152","ALICIA",1824
"153","MAISY",1790
"154","ZAHRA",1766
"155","CONNIE",1754
"156","ESTHER",1752
"157","INDIA",1750
"158","ELISE",1730
"159","EDITH",1727
"160","BETSY",1722
"161","ANYA",1706
"162","ANGEL",1675
"163","ANAYA",1673
"164","MADELEINE",1665
"165","BONNIE",1651
"166","ELENA",1648
"167","PIPPA",1629
"168","FRANKIE",1628
"169","ALEXA",1598
"170","AIMEE",1584
"171","ELSA",1579
"172","SADIE",1562
"173","ALYSSA",1543
"174","ZUZANNA",1532
"175","GEORGINA",1531
"176","FAYE",1530
"177","HANNA",1508
"178","NEVE",1503
"179","ALEENA",1502
"180","ARIANA",1501
"181","SKYLA",1485
"182","AUTUMN",1476
"183","AYLA",1465
"184","ESMAE",1446
"185","LUCIA",1441
"186","NINA",1431
"187","MILEY",1422
"188","SCARLET",1406
"189","TABITHA",1404
"190","MACIE",1403
"191","AMIRA",1387
"192","EMELIA",1366
"193","MARIAM",1366
"194","AMINA",1362
"195","ARIA",1347
"196","KHADIJA",1326
"197","ELODIE",1324
"198","EDIE",1315
"199","LUNA",1311
"200","AYESHA",1303
"201","JEMIMA",1287
"202","AOIFE",1270
"203","YASMIN",1270
"204","NADIA",1269
"205","BEAU",1251
"206","ALEXIA",1249
"207","JENNIFER",1244
"208","ALANA",1223
"209","AMAYA",1222
"210","KHADIJAH",1221
"211","DELILAH",1216
"212","MELISSA",1207
"213","ZOYA",1206
"214","ABBIE",1203
"215","LILIANA",1196
"216","ROSA",1190
"217","MAGGIE",1186
"218","SAFA",1185
"219","INAAYA",1173
"220","JESSIE",1171
"221","LANA",1158
"222","MYLA",1155
"223","LUCIE",1136
"224","KATHERINE",1130
"225","AURORA",1123
"226","LILY-ROSE",1117
"227","LILY-MAE",1116
"228","MACEY",1114
"229","OLIVE",1113
"230","APRIL",1112
"231","MAIA",1111
"232","RACHEL",1109
"233","EBONY",1104
"234","CARA",1078
"235","LACIE",1076
"236","LYRA",1071
"237","GEORGIE",1065
"238","TAYLOR",1063
"239","EMMIE",1058
"240","MARY",1039
"241","AMELIA-ROSE",1037
"242","KAITLYN",1034
"243","CATHERINE",1033
"244","PENNY",1021
"245","BEATRIX",1012
"246","HAFSA",1009
"247","NATALIE",1008
"248","FFION",1000
"249","POLLY",995
"250","HALLIE",994
"251","HONEY",976
"252","TALLULAH",971
"253","DEMI",970
"254","ESMEE",970
"255","JOSEPHINE",969
"256","CAITLYN",962
"257","MICHELLE",953
"258","TALIA",945
"259","EMILIE",938
"260","GABRIELA",938
"261","CERYS",930
"262","JOSIE",926
"263","ADA",922
"264","MARNIE",919
"265","ALIZA",917
"266","SYEDA",917
"267","LILA",914
"268","MABEL",914
"269","TIANA",913
"270","CASEY",902
"271","CONSTANCE",899
"272","BELLE",898
"273","MELODY",880
"274","SKYLAR",879
"275","ARYA",875
"276","ZOFIA",872
"277","COURTNEY",871
"278","HAZEL",866
"279","AMINAH",865
"280","ELLIE-MAE",865
"281","PEARL",864
"282","VANESSA",859
"283","DESTINY",845
"284","TEGAN",844
"285","SAMANTHA",843
"286","HALLE",838
"287","KITTY",838
"288","AIZA",832
"289","LILLY-MAY",832
"290","LILLY-MAE",831
"291","ELLA-ROSE",824
"292","NATASHA",823
"293","ALIYAH",822
"294","CORA",820
"295","KARA",820
"296","CLAUDIA",816
"297","ELIANA",816
"298","INAYAH",816
"299","INDIE",814
"300","KIERA",811
"301","HANA",805
"302","ALICJA",802
"303","ANASTASIA",796
"304","MACY",794
"305","EVANGELINE",789
"306","PEYTON",789
"307","MADDIE",787
"308","OLIWIA",783
"309","NIA",782
"310","ELLIE-MAY",779
"311","SASHA",776
"312","GABRIELLE",775
"313","LOUISA",774
"314","IQRA",769
"315","ZAYNAB",764
"316","PHILIPPA",761
"317","AMARA",756
"318","IZABELLA",756
"319","MILLY",755
"320","LILAH",752
"321","INAYA",747
"322","HELENA",745
"323","ELLEN",743
"324","NICOLA",743
"325","CARYS",742
"326","BETHAN",737
"327","KATE",737
"328","LILY-MAY",733
"329","IMAAN",730
"330","ANNABELLA",728
"331","ARIANNA",727
"332","NOOR",726
"333","KYRA",725
"334","LILLY-ROSE",719
"335","OPHELIA",713
"336","NIKOLA",708
"337","HATTIE",706
"338","DOLLY",702
"339","SAPPHIRE",701
"340","AMIRAH",698
"341","FATIMAH",694
"342","SYDNEY",691
"343","AURELIA",683
"344","VALENTINA",682
"345","DIANA",677
"346","LEYLA",674
"347","STELLA",674
"348","ALESHA",673
"349","LILIA",673
"350","LILLIAN",672
"351","CHARLIE",671
"352","MIRIAM",671
"353","TIFFANY",670
"354","RIA",667
"355","ALINA",666
"356","LOUISE",666
"357","MADELINE",663
"358","PIPER",662
"359","STEPHANIE",654
"360","KYLA",652
"361","CIARA",651
"362","VERITY",651
"363","PRIYA",650
"364","DANIELLE",648
"365","TIANNA",647
"366","DANIELLA",642
"367","HALIMA",641
"368","AAMINAH",640
"369","ANTONIA",640
"370","KELSEY",639
"371","ANA",638
"372","NELL",632
"373","KACEY",629
"374","KIARA",629
"375","AIZAH",628
"376","CLEO",625
"377","ERICA",625
"378","JADE",623
"379","ALEKSANDRA",612
"380","IYLA",612
"381","CHELSEA",609
"382","FLEUR",607
"383","BETH",606
"384","HARMONY",601
"385","AVA-ROSE",600
"386","LIBERTY",599
"387","ANNALISE",597
"388","ALBA",594
"389","KAYLEIGH",594
"390","ISOBELLE",592
"391","JOANNA",592
"392","MAISEY",592
"393","LIVIA",591
"394","MINNIE",590
"395","CRYSTAL",588
"396","IONA",588
"397","FLORA",583
"398","ELISA",578
"399","NYLA",577
"400","ANAYAH",575
"401","CHARLEY",572
"402","KHLOE",572
"403","ASHLEIGH",567
"404","DIYA",562
"405","SERENA",562
"406","ATHENA",553
"407","AMEERA",552
"408","WIKTORIA",552
"409","AUDREY",550
"410","LAIBA",546
"411","GRACIE-MAE",545
"412","ALEEZA",543
"413","SAFAA",542
"414","SANA",541
"415","KATELYN",539
"416","JASMIN",537
"417","ELA",536
"418","PIXIE",536
"419","BETTY",532
"420","HAFSAH",532
"421","KATY",530
"422","MORGAN",530
"423","ANGELINA",526
"424","CALLIE",524
"425","HAYLEY",524
"426","ANAIS",521
"427","JENNA",519
"428","SIMRAN",517
"429","HALEEMA",510
"430","RUTH",505
"431","TILLIE",504
"432","POPPIE",502
"433","AYA",498
"434","ISLA-ROSE",498
"435","LIYANA",497
"436","DOROTHY",496
"437","MALAIKA",495
"438","GENEVIEVE",494
"439","ROSALIE",492
"440","SALMA",491
"441","NORA",487
"442","ALAYNA",486
"443","CLEMENTINE",482
"444","MILENA",481
"445","YUSRA",479
"446","PARIS",475
"447","SYLVIE",475
"448","EFFIE",474
"449","BIANCA",472
"450","SHANNON",472
"451","KIRA",471
"452","ROXANNE",469
"453","SAFFRON",468
"454","ALESSIA",467
"455","EMMY",462
"456","MARWA",461
"457","VIVIENNE",461
"458","LILLIE-MAE",459
"459","FEARNE",458
"460","HENRIETTA",458
"461","MIA-ROSE",457
"462","TARA",457
"463","ALYSSIA",456
"464","HERMIONE",456
"465","MACI",455
"466","MYAH",455
"467","EVIE-MAE",454
"468","ELISSA",453
"469","KACIE",453
"470","MARGOT",452
"471","MARLEY",451
"472","RENEE",448
"473","SASKIA",448
"474","ADRIANA",447
"475","ANABELLE",447
"476","KAYA",446
"477","MAIZIE",446
"478","MAE",445
"479","RIYA",442
"480","SIENA",442
"481","AGNES",441
"482","BILLIE",441
"483","MIYA",441
"484","HARLEY",440
"485","TEAGAN",439
"486","JORGIE",438
"487","CARMEN",437
"488","NEAVE",437
"489","TAMARA",436
"490","SABRINA",435
"491","ELLIE-MAI",433
"492","FRANCES",432
"493","MANHA",432
"494","LACEY-MAE",431
"495","EMMELINE",430
"496","PRINCESS",429
"497","JANNAT",428
"498","ELISHA",427
"499","ANIKA",426
"500","BLOSSOM",426
"501","ISHA",425
"502","ISRA",425
"503","KEELEY",425
"504","SAFIYA",425
"505","ALANNAH",424
"506","BELLA-ROSE",424
"507","ELIN",423
"508","LILI",423
"509","SKY",423
"510","QUINN",421
"511","DARIA",420
"512","SUMAYYAH",420
"513","PRIMROSE",419
"514","BROOKLYN",418
"515","KARINA",416
"516","NIEVE",416
"517","HANIYA",414
"518","BRIANNA",413
"519","MAY",413
"520","KIMBERLEY",411
"521","AYSHA",410
"522","ARIELLA",409
"523","IMAN",409
"524","TAYLA",409
"525","BAILEY",408
"526","RHEA",408
"527","CHRISTINA",407
"528","IDA",407
"529","AMANDA",405
"530","EVIE-ROSE",403
"531","AYANA",401
"532","MARGARET",401
"533","ALIYA",400
"534","LEIA",398
"535","MALI",398
"536","MICHAELA",398
"537","AYAH",396
"538","ELLA-MAE",396
"539","JULIETTE",396
"540","AMNA",394
"541","ADELE",393
"542","AVA-MAE",392
"543","CASSIE",391
"544","SAFIYYAH",389
"545","EMAAN",388
"546","ESHAL",388
"547","LIA",388
"548","RIVER",387
"549","ALYS",386
"550","ANGELA",386
"551","ERYN",386
"552","DAISY-MAE",384
"553","CECILIA",383
"554","FARRAH",383
"555","TANISHA",383
"556","MILLICENT",381
"557","SUMAYA",381
"558","ROWAN",380
"559","ERIKA",377
"560","COCO",376
"561","AQSA",375
"562","CAMILLA",375
"563","YASMINE",375
"564","KAROLINA",374
"565","DAKOTA",373
"566","SKYLER",373
"567","LINA",371
"568","ORLAITH",371
"569","ASTRID",370
"570","JULIET",367
"571","RUBIE",367
"572","SAOIRSE",367
"573","EMILIJA",366
"574","RIHANNA",366
"575","LOLA-ROSE",365
"576","DEBORAH",363
"577","HIBA",363
"578","WREN",361
"579","FERN",359
"580","JORJA",359
"581","AMANI",358
"582","LEONA",357
"583","RUBY-MAE",357
"584","MILANA",356
"585","ANGELICA",355
"586","KAITLIN",355
"587","ALANNA",354
"588","ANISA",353
"589","ALIVIA",352
"590","LILIAN",352
"591","CARLA",350
"592","HARLOW",349
"593","RAYA",349
"594","ABBY",348
"595","LEA",348
"596","ALISHBA",346
"597","PRECIOUS",345
"598","ESHAAL",344
"599","ELISABETH",343
"600","FARAH",342
"601","MAIRA",342
"602","NYLAH",340
"603","GRETA",339
"604","OLIVIA-ROSE",339
"605","HONOR",336
"606","ISOBELLA",336
"607","OTTILIE",336
"608","SCARLETT-ROSE",336
"609","DOLCIE",335
"610","GRACIE-MAY",335
"611","POLA",335
"612","ROXY",335
