"","Name","Counts"
"1","EMMA",102081
"2","SOPHIA",101404
"3","OLIVIA",92564
"4","ISABELLA",89357
"5","AVA",78362
"6","EMILY",65466
"7","MIA",65122
"8","ABIGAIL",62843
"9","MADISON",54790
"10","ELIZABETH",48547
"11","CHLOE",45908
"12","CHARLOTTE",44719
"13","AVERY",43741
"14","ELLA",43696
"15","SOFIA",43606
"16","AMELIA",40303
"17","HARPER",40049
"18","EVELYN",39355
"19","ADDISON",38917
"20","AUBREY",38207
"21","GRACE",37685
"22","NATALIE",37615
"23","LILY",36563
"24","VICTORIA",36557
"25","ZOEY",35469
"26","LILLIAN",34679
"27","HANNAH",34143
"28","BROOKLYN",33980
"29","SAMANTHA",31895
"30","LAYLA",31607
"31","ZOE",30651
"32","LEAH",28992
"33","ANNA",27480
"34","AUDREY",27273
"35","ALLISON",27148
"36","SAVANNAH",26815
"37","GABRIELLA",26529
"38","HAILEY",26066
"39","SCARLETT",25787
"40","KAYLEE",25689
"41","AALIYAH",25607
"42","CAMILA",25393
"43","RILEY",25322
"44","SARAH",24671
"45","NEVAEH",24499
"46","CLAIRE",24339
"47","ALEXIS",24311
"48","ARIANNA",24204
"49","ALEXA",23198
"50","ARIA",22650
"51","ALYSSA",22386
"52","PEYTON",22063
"53","ARIANA",21904
"54","TAYLOR",21746
"55","ASHLEY",21014
"56","SERENITY",20861
"57","BRIANNA",20799
"58","BELLA",20671
"59","KYLIE",20654
"60","STELLA",20592
"61","GENESIS",20433
"62","LUCY",20299
"63","MADELYN",20123
"64","MAYA",19889
"65","PENELOPE",19727
"66","AUTUMN",19672
"67","KENNEDY",19591
"68","MACKENZIE",19576
"69","ELLIE",19549
"70","KHLOE",19486
"71","SADIE",19451
"72","CAROLINE",19437
"73","SOPHIE",19383
"74","SKYLAR",19340
"75","AUBREE",19331
"76","VIOLET",19105
"77","KATHERINE",18979
"78","JULIA",18947
"79","NORA",18691
"80","PAISLEY",17735
"81","FAITH",17729
"82","EVA",17704
"83","NAOMI",17525
"84","MELANIE",17410
"85","GIANNA",17387
"86","KAYLA",17096
"87","PIPER",16986
"88","ANNABELLE",16969
"89","ALEXANDRA",16928
"90","MILA",16902
"91","LAUREN",16883
"92","MADELINE",16735
"93","LYDIA",16646
"94","MAKAYLA",16350
"95","SYDNEY",16109
"96","LONDON",16020
"97","JASMINE",15961
"98","KIMBERLY",15961
"99","RUBY",15876
"100","MORGAN",15870
"101","ELEANOR",15638
"102","BAILEY",15519
"103","JOCELYN",15317
"104","TRINITY",15097
"105","MOLLY",14809
"106","REAGAN",14688
"107","MARIA",14658
"108","ANDREA",14638
"109","ISABELLE",14217
"110","ALICE",14098
"111","RYLEE",14019
"112","BROOKE",13630
"113","NATALIA",13511
"114","NICOLE",13305
"115","PAYTON",13223
"116","MARY",13196
"117","VIVIAN",13195
"118","MARIAH",13154
"119","BRIELLE",13145
"120","LILLY",13139
"121","LILIANA",13092
"122","PAIGE",13000
"123","HADLEY",12989
"124","JADE",12943
"125","CLARA",12829
"126","MYA",12706
"127","ELIANA",12592
"128","CORA",12580
"129","HAZEL",12519
"130","JORDYN",12484
"131","KENDALL",12370
"132","AURORA",12138
"133","ELENA",12101
"134","QUINN",12088
"135","DESTINY",12079
"136","VALENTINA",12009
"137","ISABEL",11626
"138","KAITLYN",11600
"139","DELILAH",11506
"140","ANGELINA",11472
"141","RACHEL",11395
"142","LYLA",11369
"143","MCKENZIE",11026
"144","VANESSA",10916
"145","AMY",10891
"146","BROOKLYNN",10836
"147","GABRIELLE",10778
"148","REESE",10728
"149","KATELYN",10705
"150","WILLOW",10679
"151","SARA",10673
"152","LAILA",10618
"153","ALIYAH",10599
"154","JOSEPHINE",10475
"155","KINSLEY",10409
"156","JULIANA",10399
"157","VALERIA",10364
"158","JESSICA",10283
"159","GRACIE",10184
"160","ADRIANA",10167
"161","ARIEL",10092
"162","EDEN",9902
"163","ELISE",9882
"164","XIMENA",9825
"165","IVY",9795
"166","MAKENZIE",9583
"167","VALERIE",9457
"168","CATHERINE",9453
"169","MICHELLE",9446
"170","LUNA",9440
"171","MELODY",9439
"172","REBECCA",9426
"173","ADALYN",9422
"174","MARGARET",9305
"175","ADALYNN",9281
"176","ALAINA",9249
"177","LONDYN",9171
"178","KYLEE",9114
"179","IZABELLA",9028
"180","ISLA",8909
"181","STEPHANIE",8906
"182","DAISY",8857
"183","EMERY",8796
"184","JAYLA",8776
"185","LILA",8774
"186","SUMMER",8773
"187","JENNIFER",8696
"188","JULIANNA",8612
"189","ALANA",8529
"190","RYLEIGH",8488
"191","NORAH",8478
"192","GISELLE",8369
"193","HAYDEN",8364
"194","KATE",8266
"195","ALIVIA",8216
"196","ANGELA",8182
"197","HARMONY",8133
"198","DANIELA",8079
"199","PRESLEY",8026
"200","KINLEY",7969
"201","EMILIA",7965
"202","MELISSA",7857
"203","KEIRA",7789
"204","ADELINE",7760
"205","CALLIE",7756
"206","ALEXANDRIA",7748
"207","ELIZA",7727
"208","CECILIA",7626
"209","GENEVIEVE",7597
"210","GABRIELA",7567
"211","ALAYNA",7514
"212","ATHENA",7512
"213","FIONA",7490
"214","ANIYAH",7484
"215","EMERSON",7459
"216","LEILANI",7442
"217","HALEY",7429
"218","ROSE",7412
"219","ESTHER",7403
"220","ARABELLA",7367
"221","BRYNN",7289
"222","ADELYN",7264
"223","ALINA",7241
"224","AMAYA",7208
"225","ANA",7207
"226","TESSA",7153
"227","MARLEY",7145
"228","ALLIE",7120
"229","HOPE",7118
"230","JENNA",7099
"231","ADRIANNA",7080
"232","LOLA",7029
"233","MACI",6954
"234","MCKENNA",6909
"235","JADA",6881
"236","LEILA",6844
"237","LUCIA",6839
"238","MIRANDA",6824
"239","JORDAN",6820
"240","MAGGIE",6766
"241","JACQUELINE",6746
"242","TEAGAN",6657
"243","SIENNA",6655
"244","KATIE",6652
"245","MEGAN",6629
"246","ASHLYN",6620
"247","CAMILLE",6578
"248","ALEXIA",6501
"249","JULIET",6499
"250","DANIELLE",6437
"251","DELANEY",6429
"252","ANGEL",6417
"253","MAKENNA",6385
"254","SHELBY",6321
"255","JOSIE",6314
"256","IRIS",6259
"257","LEXI",6250
"258","CHARLIE",6221
"259","CHELSEA",6207
"260","DIANA",6183
"261","GEORGIA",6143
"262","CASSIDY",6078
"263","MIKAYLA",6038
"264","FINLEY",5997
"265","CALI",5980
"266","PARKER",5939
"267","KENZIE",5937
"268","ANASTASIA",5890
"269","KATHRYN",5875
"270","KENDRA",5830
"271","KAYLEIGH",5818
"272","LILLIANA",5803
"273","PARIS",5795
"274","AMANDA",5788
"275","ERIN",5741
"276","BRYNLEE",5709
"277","AYLA",5704
"278","JULIETTE",5683
"279","EVANGELINE",5677
"280","RAELYNN",5677
"281","VIVIENNE",5670
"282","DAKOTA",5669
"283","KAYDENCE",5654
"284","AMBER",5619
"285","ALISON",5606
"286","NOELLE",5586
"287","LYRIC",5555
"288","EVERLY",5531
"289","LESLIE",5498
"290","KELSEY",5492
"291","SABRINA",5481
"292","ARYA",5480
"293","NINA",5433
"294","MADELEINE",5429
"295","ALLYSON",5403
"296","LAURA",5390
"297","ASHLYNN",5377
"298","CHRISTINA",5369
"299","PHOEBE",5361
"300","ADDYSON",5348
"301","NADIA",5338
"302","GEMMA",5337
"303","ALICIA",5333
"304","DANIELLA",5330
"305","ALONDRA",5280
"306","FATIMA",5277
"307","ANNABELLA",5270
"308","MIRIAM",5263
"309","ELLIANA",5252
"310","RAEGAN",5246
"311","CADENCE",5240
"312","MADILYN",5204
"313","LILAH",5202
"314","KYLEIGH",5182
"315","CARLY",5163
"316","MARIANA",5136
"317","ELAINA",5119
"318","LENA",5083
"319","OLIVE",5080
"320","KYLA",5079
"321","NYLA",5066
"322","JOURNEY",5050
"323","JILLIAN",5046
"324","CHEYENNE",5012
"325","SIERRA",5000
"326","ALESSANDRA",4996
"327","RUTH",4978
"328","JOANNA",4972
"329","BIANCA",4964
"330","SELENA",4933
"331","ADELAIDE",4921
"332","HEAVEN",4917
"333","VERONICA",4858
"334","MALIA",4848
"335","BRIANA",4843
"336","ELOISE",4837
"337","JANE",4829
"338","MADDISON",4817
"339","AMIYAH",4804
"340","HAYLEE",4766
"341","AINSLEY",4760
"342","MALLORY",4732
"343","CHARLEE",4705
"344","HEIDI",4695
"345","GIA",4685
"346","KIARA",4678
"347","KALI",4658
"348","YARETZI",4642
"349","GIULIANA",4619
"350","ANNIE",4617
"351","KIRA",4582
"352","TALIA",4579
"353","ABBY",4573
"354","SKYLER",4563
"355","MACY",4535
"356","ROSALIE",4488
"357","TATUM",4472
"358","KAMRYN",4461
"359","CARMEN",4445
"360","CAMRYN",4422
"361","HARLEY",4422
"362","LUCILLE",4422
"363","LIA",4413
"364","JUNE",4394
"365","ESMERALDA",4359
"366","BAYLEE",4332
"367","MARISSA",4320
"368","JAZMIN",4300
"369","JAZMINE",4283
"370","RYLIE",4279
"371","KAMILA",4237
"372","BRIELLA",4228
"373","ADELYNN",4213
"374","BETHANY",4210
"375","MYLA",4191
"376","SCARLET",4189
"377","JAYLAH",4179
"378","AUBRIE",4173
"379","MACIE",4170
"380","ARIELLE",4115
"381","ELSIE",4111
"382","JAYDA",4105
"383","HAVEN",4092
"384","KELLY",4092
"385","KARINA",4018
"386","MALIYAH",3991
"387","KAREN",3986
"388","ELLE",3978
"389","KARA",3977
"390","NOVA",3977
"391","DAPHNE",3973
"392","NAYELI",3946
"393","ANGELICA",3919
"394","LANA",3911
"395","APRIL",3887
"396","CAMILLA",3885
"397","EMELY",3876
"398","JAYLEEN",3874
"399","MCKINLEY",3863
"400","ALEJANDRA",3855
"401","SLOANE",3850
"402","JULIE",3849
"403","VERA",3849
"404","TIFFANY",3846
"405","MADELYNN",3818
"406","AYLIN",3814
"407","ALEAH",3808
"408","HELEN",3808
"409","SAWYER",3797
"410","SKYE",3780
"411","CATALINA",3753
"412","AVERIE",3719
"413","JANELLE",3718
"414","ADA",3716
"415","GRACELYN",3702
"416","ROWAN",3701
"417","CAITLYN",3691
"418","CAROLINA",3677
"419","SAGE",3664
"420","RAELYN",3663
"421","MARILYN",3656
"422","KYRA",3654
"423","HANNA",3644
"424","MIRACLE",3631
"425","CRYSTAL",3628
"426","BRISTOL",3621
"427","SERENA",3621
"428","SAVANNA",3620
"429","BRITTANY",3618
"430","SARAI",3614
"431","JAYDEN",3609
"432","ITZEL",3607
"433","LOGAN",3604
"434","KENNEDI",3595
"435","BRYLEE",3587
"436","KAILEY",3580
"437","JAZLYN",3568
"438","MADISYN",3566
"439","KARLA",3550
"440","MICHAELA",3549
"441","NYLAH",3548
"442","HOLLY",3524
"443","GUADALUPE",3518
"444","ADDISYN",3513
"445","FERNANDA",3505
"446","ANGELIQUE",3496
"447","AMIRA",3484
"448","ASPEN",3479
"449","JIMENA",3450
"450","IMANI",3445
"451","JULISSA",3445
"452","DYLAN",3444
"453","FRANCESCA",3443
"454","ANAYA",3437
"455","ANYA",3435
"456","BRAELYN",3424
"457","VIVIANA",3422
"458","ELSA",3404
"459","KAELYN",3403
"460","CASSANDRA",3399
"461","KASSIDY",3393
"462","DALEYZA",3388
"463","SASHA",3376
"464","ARIELLA",3368
"465","KAYLIE",3348
"466","MILEY",3336
"467","MELANY",3328
"468","ELISA",3322
"469","REBEKAH",3318
"470","DANNA",3316
"471","LACEY",3310
"472","JAMIE",3309
"473","DAHLIA",3308
"474","GWENDOLYN",3308
"475","JUSTICE",3306
"476","CAITLIN",3301
"477","CELESTE",3294
"478","CYNTHIA",3294
"479","ANNALISE",3284
"480","JOY",3279
"481","BREANNA",3278
"482","JANIYAH",3265
"483","AUDRINA",3239
"484","NIA",3238
"485","BRINLEY",3235
"486","MONICA",3228
"487","BLAKELY",3200
"488","LILIAN",3182
"489","ZARA",3179
"490","EMMALYN",3174
"491","KATELYNN",3171
"492","PRISCILLA",3159
"493","MARLEE",3136
"494","KAYLIN",3128
"495","TIANA",3119
"496","LORELEI",3117
"497","MADALYN",3116
"498","HAYLEY",3112
"499","ANIYA",3098
"500","EMBER",3091
"501","JALIYAH",3080
"502","JOSELYN",3067
"503","AMINA",3066
"504","KAILYN",3061
"505","AMARI",3052
"506","KADENCE",3049
"507","ZARIAH",3049
"508","EVE",3046
"509","EVELYNN",3042
"510","BRIDGET",3039
"511","MAEVE",3034
"512","EMERSYN",3024
"513","JOURNEE",3020
"514","ALANNA",3003
"515","PAISLEE",3000
"516","SYLVIA",2991
"517","ALEENA",2990
