"","Name","Gender","Count"
"1","Sophia","F",21223
"2","Emma","F",20942
"3","Olivia","F",18428
"4","Isabella","F",17642
"5","Ava","F",15252
"6","Mia","F",13152
"7","Emily","F",13126
"8","Abigail","F",12409
"9","Madison","F",10596
"10","Elizabeth","F",9454
"11","Charlotte","F",9300
"12","Avery","F",9176
"13","Sofia","F",9160
"14","Chloe","F",8788
"15","Ella","F",8448
"16","Harper","F",8280
"17","Amelia","F",8036
"18","Aubrey","F",7969
"19","Addison","F",7728
"20","Evelyn","F",7662
"21","Natalie","F",7478
"22","Grace","F",7378
"23","Hannah","F",7298
"24","Zoey","F",7242
"25","Victoria","F",7204
"26","Lillian","F",7072
"27","Lily","F",6989
"28","Brooklyn","F",6896
"29","Samantha","F",6505
"30","Layla","F",6479
"31","Zoe","F",5971
"32","Leah","F",5605
"33","Audrey","F",5600
"34","Allison","F",5438
"35","Anna","F",5380
"36","Savannah","F",5245
"37","Aaliyah","F",5233
"38","Gabriella","F",5212
"39","Camila","F",5144
"40","Kaylee","F",5122
"41","Aria","F",5112
"42","Scarlett","F",5050
"43","Hailey","F",5020
"44","Arianna","F",4996
"45","Riley","F",4935
"46","Alexis","F",4777
"47","Nevaeh","F",4760
"48","Sarah","F",4701
"49","Claire","F",4656
"50","Sadie","F",4652
"51","Peyton","F",4567
"52","Serenity","F",4454
"53","Aubree","F",4443
"54","Ariana","F",4414
"55","Genesis","F",4299
"56","Penelope","F",4289
"57","Alyssa","F",4201
"58","Bella","F",4173
"59","Taylor","F",4138
"60","Alexa","F",4100
"61","Kylie","F",4027
"62","Mackenzie","F",4015
"63","Caroline","F",3980
"64","Kennedy","F",3955
"65","Autumn","F",3953
"66","Lucy","F",3946
"67","Madelyn","F",3938
"68","Ashley","F",3937
"69","Violet","F",3931
"70","Stella","F",3909
"71","Brianna","F",3905
"72","Maya","F",3820
"73","Skylar","F",3788
"74","Ellie","F",3762
"75","Julia","F",3749
"76","Sophie","F",3749
"77","Katherine","F",3719
"78","Mila","F",3677
"79","Khloe","F",3673
"80","Paisley","F",3601
"81","Annabelle","F",3557
"82","Nora","F",3508
"83","Alexandra","F",3506
"84","Melanie","F",3470
"85","London","F",3456
"86","Naomi","F",3445
"87","Gianna","F",3441
"88","Eva","F",3430
"89","Faith","F",3412
"90","Madeline","F",3370
"91","Nicole","F",3350
"92","Lauren","F",3345
"93","Ruby","F",3313
"94","Makayla","F",3288
"95","Kayla","F",3256
"96","Lydia","F",3256
"97","Piper","F",3189
"98","Sydney","F",3172
"99","Jocelyn","F",3150
"100","Morgan","F",3115
"101","Kimberly","F",3102
"102","Molly","F",3082
"103","Jasmine","F",3054
"104","Reagan","F",3038
"105","Bailey","F",3013
"106","Eleanor","F",3008
"107","Alice","F",2935
"108","Trinity","F",2920
"109","Rylee","F",2898
"110","Hadley","F",2827
"111","Maria","F",2816
"112","Andrea","F",2815
"113","Mariah","F",2762
"114","Isabelle","F",2757
"115","Brooke","F",2751
"116","Mya","F",2697
"117","Brielle","F",2688
"118","Mary","F",2651
"119","Vivian","F",2650
"120","Quinn","F",2648
"121","Natalia","F",2629
"122","Payton","F",2615
"123","Liliana","F",2614
"124","Lilly","F",2610
"125","Eliana","F",2607
"126","Jade","F",2585
"127","Cora","F",2584
"128","Paige","F",2574
"129","Valentina","F",2563
"130","Kendall","F",2516
"131","Clara","F",2504
"132","Elena","F",2390
"133","Jordyn","F",2385
"134","Kaitlyn","F",2377
"135","Delilah","F",2342
"136","Isabel","F",2338
"137","Rachel","F",2312
"138","Destiny","F",2307
"139","Amy","F",2236
"140","Gabrielle","F",2214
"141","Mckenzie","F",2212
"142","Brooklynn","F",2157
"143","Katelyn","F",2147
"144","Laila","F",2142
"145","Ariel","F",2134
"146","Aurora","F",2128
"147","Angelina","F",2113
"148","Aliyah","F",2109
"149","Ivy","F",2097
"150","Juliana","F",2096
"151","Adriana","F",2095
"152","Vanessa","F",2093
"153","Sara","F",2086
"154","Lyla","F",2080
"155","Willow","F",2074
"156","Reese","F",2060
"157","Hazel","F",2054
"158","Eden","F",2042
"159","Elise","F",2016
"160","Josephine","F",2009
"161","Kinsley","F",1979
"162","Ximena","F",1959
"163","Londyn","F",1950
"164","Jessica","F",1947
"165","Gracie","F",1945
"166","Makenzie","F",1935
"167","Isla","F",1911
"168","Michelle","F",1888
"169","Valerie","F",1878
"170","Catherine","F",1865
"171","Kylee","F",1865
"172","Melody","F",1862
"173","Adalynn","F",1843
"174","Jayla","F",1839
"175","Alexia","F",1829
"176","Valeria","F",1816
"177","Rebecca","F",1799
"178","Izabella","F",1783
"179","Adalyn","F",1778
"180","Margaret","F",1774
"181","Alaina","F",1758
"182","Alana","F",1756
"183","Luna","F",1745
"184","Alivia","F",1743
"185","Kate","F",1737
"186","Summer","F",1728
"187","Norah","F",1724
"188","Kendra","F",1722
"189","Ryleigh","F",1721
"190","Lila","F",1700
"191","Julianna","F",1697
"192","Jennifer","F",1691
"193","Hayden","F",1685
"194","Stephanie","F",1675
"195","Emery","F",1674
"196","Angela","F",1645
"197","Fiona","F",1639
"198","Daisy","F",1629
"199","Presley","F",1629
"200","Eliza","F",1619
"201","Harmony","F",1617
"202","Melissa","F",1591
"203","Keira","F",1570
"204","Emilia","F",1563
"205","Alexandria","F",1562
"206","Giselle","F",1562
"207","Alayna","F",1561
"208","Kinley","F",1560
"209","Marley","F",1530
"210","Arabella","F",1528
"211","Emerson","F",1523
"212","Adelyn","F",1506
"213","Lola","F",1492
"214","Brynn","F",1485
"215","Leila","F",1469
"216","Mckenna","F",1469
"217","Aniyah","F",1463
"218","Genevieve","F",1463
"219","Allie","F",1460
"220","Athena","F",1459
"221","Gabriela","F",1444
"222","Daniela","F",1438
"223","Esther","F",1436
"224","Cecilia","F",1432
"225","Rose","F",1427
"226","Callie","F",1420
"227","Adrianna","F",1416
"228","Jenna","F",1415
"229","Haley","F",1407
"230","Hope","F",1392
"231","Leilani","F",1390
"232","Maggie","F",1383
"233","Adeline","F",1377
"234","Jaylah","F",1365
"235","Amaya","F",1363
"236","Ana","F",1342
"237","Maci","F",1338
"238","Jacqueline","F",1329
"239","Juliet","F",1329
"240","Camille","F",1325
"241","Charlie","F",1325
"242","Lucia","F",1325
"243","Tessa","F",1321
"244","Katie","F",1319
"245","Miranda","F",1297
"246","Lexi","F",1296
"247","Jada","F",1293
"248","Makenna","F",1290
"249","Delaney","F",1276
"250","Cassidy","F",1273
"251","Georgia","F",1263
"252","Alina","F",1261
"253","Iris","F",1248
"254","Anastasia","F",1245
"255","Megan","F",1245
"256","Paris","F",1240
"257","Ashlyn","F",1237
"258","Kenzie","F",1237
"259","Danielle","F",1236
"260","Jordan","F",1235
"261","Shelby","F",1235
"262","Lilliana","F",1227
"263","Sienna","F",1223
"264","Teagan","F",1223
"265","Angel","F",1222
"266","Josie","F",1219
"267","Parker","F",1201
"268","Mikayla","F",1197
"269","Brynlee","F",1184
"270","Kathryn","F",1181
"271","Chelsea","F",1177
"272","Diana","F",1176
"273","Annabella","F",1169
"274","Kaydence","F",1169
"275","Lyric","F",1167
"276","Erin","F",1166
"277","Madeleine","F",1143
"278","Arya","F",1138
"279","Kayleigh","F",1132
"280","Sabrina","F",1131
"281","Vivienne","F",1130
"282","Cali","F",1129
"283","Raelynn","F",1121
"284","Amber","F",1112
"285","Nina","F",1112
"286","Leslie","F",1111
"287","Kyleigh","F",1110
"288","Ayla","F",1106
"289","Miriam","F",1104
"290","Daniella","F",1098
"291","Olive","F",1096
"292","Finley","F",1093
"293","Dakota","F",1084
"294","Noelle","F",1081
"295","Elliana","F",1080
"296","Juliette","F",1078
"297","Amanda","F",1069
"298","Alison","F",1068
"299","Christina","F",1066
"300","Evangeline","F",1065
"301","Alessandra","F",1064
"302","Phoebe","F",1059
"303","Bianca","F",1054
"304","Kelsey","F",1049
"305","Lilah","F",1047
"306","Yaretzi","F",1047
"307","Raegan","F",1043
"308","Fatima","F",1037
"309","Elaina","F",1036
"310","Kiara","F",1036
"311","Cadence","F",1035
"312","Nyla","F",1031
"313","Addyson","F",1029
"314","Ashlynn","F",1027
"315","Gemma","F",1024
"316","Giuliana","F",1022
"317","Kyla","F",1021
"318","Laura","F",1021
"319","Alicia","F",1019
"320","Alondra","F",1019
"321","Carly","F",1018
"322","Adelaide","F",1017
"323","Allyson","F",1007
"324","Nadia","F",995
"325","Charlee","F",994
"326","Heaven","F",993
"327","Mallory","F",989
"328","Ruth","F",987
"329","Tatum","F",984
"330","Cheyenne","F",980
"331","Lena","F",979
"332","Ainsley","F",972
"333","Amiyah","F",968
"334","Veronica","F",963
"335","Malia","F",959
"336","Journey","F",955
"337","Eloise","F",954
"338","Haylee","F",951
"339","Myla","F",951
"340","Mariana","F",950
"341","Madilyn","F",946
"342","Jillian","F",945
"343","Joanna","F",945
"344","Sierra","F",942
"345","Selena","F",939
"346","Baylee","F",937
"347","Rosalie","F",936
"348","Briella","F",935
"349","Gia","F",930
"350","Briana","F",913
"351","Talia","F",909
"352","Abby","F",905
"353","Annie","F",902
"354","Heidi","F",902
"355","Jane","F",898
"356","Kira","F",897
"357","Maddison","F",897
"358","Carmen","F",878
"359","Lucille","F",876
"360","Harley","F",875
"361","Macy","F",873
"362","Skyler","F",872
"363","Kali","F",871
"364","June","F",869
"365","Elsie","F",857
"366","Arielle","F",853
"367","Kamila","F",851
"368","Adelynn","F",849
"369","Kelly","F",848
"370","Scarlet","F",846
"371","Haven","F",845
"372","Rylie","F",843
"373","Marilyn","F",837
"374","Kara","F",832
"375","Aubrie","F",831
"376","Kamryn","F",829
"377","Marissa","F",818
"378","Hanna","F",817
"379","Everly","F",816
"380","Jazmine","F",814
"381","Averie","F",813
"382","Jayda","F",812
"383","Lia","F",808
"384","Jazmin","F",807
"385","Camryn","F",805
"386","Karina","F",802
"387","Bethany","F",801
"388","Miley","F",800
"389","Maliyah","F",795
"390","Jayleen","F",792
"391","Mckinley","F",791
"392","Macie","F",790
"393","Esmeralda","F",785
"394","Catalina","F",780
"395","Janelle","F",777
"396","Aleah","F",776
"397","Daphne","F",775
"398","Nayeli","F",772
"399","Camilla","F",767
"400","Kyra","F",766
"401","Madelynn","F",764
"402","Julie","F",762
"403","Addisyn","F",761
"404","Aylin","F",757
"405","Sloane","F",755
"406","Caitlyn","F",753
"407","Elle","F",749
"408","Gracelyn","F",748
"409","Michaela","F",744
"410","Serena","F",743
"411","Helen","F",739
"412","Angelica","F",734
"413","Nylah","F",733
"414","Lana","F",732
"415","Raelyn","F",732
"416","Karen","F",730
"417","Emely","F",727
"418","Bristol","F",726
"419","Alejandra","F",723
"420","Sarai","F",723
"421","Vera","F",720
"422","Francesca","F",719
"423","Brittany","F",718
"424","April","F",716
"425","Skye","F",715
"426","Miracle","F",713
"427","Rowan","F",713
"428","Carolina","F",708
"429","Logan","F",707
"430","Sasha","F",707
"431","Justice","F",706
"432","Kassidy","F",706
"433","Ariella","F",705
"434","Tiffany","F",705
"435","Ada","F",702
"436","Itzel","F",700
"437","Brylee","F",699
"438","Jazlyn","F",697
"439","Jayden","F",696
"440","Dahlia","F",694
"441","Julissa","F",694
"442","Savanna","F",693
"443","Kaelyn","F",692
"444","Kennedi","F",690
"445","Viviana","F",689
"446","Anya","F",688
"447","Cataleya","F",687
"448","Sawyer","F",687
"449","Kaylie","F",685
"450","Blakely","F",683
"451","Holly","F",682
"452","Kailey","F",670
"453","Jimena","F",669
"454","Melany","F",669
"455","Annalise","F",668
"456","Guadalupe","F",666
"457","Sage","F",666
"458","Emmalyn","F",665
"459","Amira","F",664
"460","Anabelle","F",664
"461","Kaylin","F",663
"462","Madisyn","F",663
"463","Cassandra","F",662
"464","Rebekah","F",661
"465","Crystal","F",660
"466","Elisa","F",657
"467","Lacey","F",656
"468","Celeste","F",654
"469","Caitlin","F",653
"470","Danna","F",650
"471","Gwendolyn","F",650
"472","Marlee","F",649
"473","Joy","F",648
"474","Joselyn","F",647
"475","Karla","F",646
"476","Janiyah","F",642
"477","Anaya","F",640
"478","Audrina","F",639
"479","Priscilla","F",635
"480","Malaysia","F",634
"481","Annabel","F",630
"482","Kadence","F",628
"483","Zara","F",628
"484","Imani","F",625
"485","Maeve","F",625
"486","Katelynn","F",619
"487","Phoenix","F",618
"488","Aspen","F",617
"489","Eve","F",614
"490","Dylan","F",611
"491","Jamie","F",608
"492","Kailyn","F",608
"493","Lexie","F",607
"494","Jaliyah","F",605
"495","Angie","F",603
"496","Lilian","F",603
"497","Braelyn","F",602
"498","Lauryn","F",602
"499","Lorelei","F",602
"500","Cynthia","F",600
"501","Emersyn","F",597
"502","Monica","F",597
"503","Alanna","F",596
"504","Brinley","F",596
"505","Journee","F",595
"506","Nia","F",595
"507","Sylvia","F",593
"508","Aniya","F",589
"509","Breanna","F",589
"510","Fernanda","F",585
"511","Lillie","F",583
"512","Amari","F",581
"513","Charley","F",578
"514","Lilyana","F",578
"515","Raven","F",578
"516","Kaliyah","F",575
"517","Luciana","F",573
"518","Anne","F",572
"519","Bailee","F",572
"520","Emilee","F",571
"521","Gloria","F",571
"522","Hallie","F",570
"523","Zariah","F",570
"524","Annika","F",568
"525","Zuri","F",568
"526","Elsa","F",566
"527","Bridget","F",565
"528","Madilynn","F",565
"529","Nova","F",565
"530","Liberty","F",562
"531","Rosemary","F",562
"532","Johanna","F",561
"533","Kiley","F",559
"534","Courtney","F",557
"535","Aleena","F",554
"536","Aryanna","F",554
"537","Tatiana","F",554
"538","Madalyn","F",551
"539","Selah","F",550
"540","Skyla","F",550
"541","Angelique","F",548
"542","Kenley","F",548
"543","Hayley","F",546
"544","Leighton","F",546
"545","Harlow","F",545
"546","Tiana","F",544
"547","Dayana","F",543
"548","Evelynn","F",541
"549","Helena","F",541
"550","Virginia","F",539
"551","Blake","F",536
"552","Cecelia","F",535
"553","Nathalie","F",529
"554","Evie","F",527
"555","Jaycee","F",527
"556","Gracelynn","F",525
"557","Danica","F",524
"558","Erica","F",523
"559","Ember","F",522
"560","Anika","F",521
"561","Dulce","F",521
"562","Emilie","F",519
"563","Tenley","F",517
"564","Anabella","F",514
"565","Liana","F",514
"566","Braylee","F",510
"567","Cameron","F",510
"568","Hattie","F",510
"569","Charleigh","F",508
"570","Leia","F",508
"571","Aisha","F",507
"572","Marie","F",507
"573","Lindsey","F",503
"574","Regina","F",503
"575","Isis","F",500
"576","Alyson","F",498
"577","Felicity","F",498
"578","Amara","F",496
"579","Elyse","F",495
"580","Jaelyn","F",495
"581","Anahi","F",494
"582","Natasha","F",492
"583","Lainey","F",490
"584","Samara","F",490
"585","Miah","F",488
"586","River","F",487
"587","Beatrice","F",485
"588","Daleyza","F",485
"589","Melina","F",482
"590","Whitney","F",481
"591","Amani","F",480
"592","Millie","F",480
"593","Aileen","F",479
"594","Jessie","F",479
"595","Milan","F",479
"596","Greta","F",478
"597","Caylee","F",476
"598","Jaelynn","F",475
"599","Lea","F",473
"600","Marina","F",470
"601","Kaylynn","F",469
"602","Kenya","F",469
"603","Kaia","F",465
"604","Amelie","F",464
"605","Mariam","F",463
"606","Alayah","F",461
"607","Elisabeth","F",460
"608","Karlee","F",460
"609","Maleah","F",460
"610","Ally","F",458
"611","Colette","F",458
"612","Dallas","F",458
"613","Erika","F",458
"614","Kiera","F",454
"615","Farrah","F",453
"616","Adelina","F",452
"617","Alani","F",452
"618","Desiree","F",452
"619","Mikaela","F",452
"620","Cara","F",450
"621","Bria","F",449
"622","Jaylynn","F",449
"623","Madalynn","F",449
"624","Amina","F",448
"625","Paislee","F",448
"626","Leyla","F",447
"627","Azalea","F",446
"628","Braelynn","F",446
"629","Laylah","F",446
"630","Shiloh","F",446
"631","Nataly","F",445
"632","Malaya","F",444
"633","Kensley","F",443
"634","Linda","F",443
"635","Adele","F",442
"636","Amiya","F",441
"637","Addilyn","F",440
"638","Juniper","F",440
"639","Lylah","F",440
"640","Amya","F",439
"641","Brenda","F",439
"642","Emelia","F",438
"643","Irene","F",438
"644","Maia","F",438
"645","Myah","F",438
"646","Ryan","F",438
"647","Matilda","F",437
"648","Ciara","F",436
"649","Jasmin","F",436
"650","Saige","F",436
"651","Teresa","F",436
"652","Jaylee","F",435
"653","Mira","F",435
"654","Emmy","F",434
"655","Estrella","F",434
"656","Rosa","F",434
"657","Claudia","F",433
"658","Kathleen","F",432
"659","Meredith","F",432
"660","Winter","F",432
"661","Zoie","F",432
"662","Jemma","F",431
"663","Paityn","F",431
"664","Yareli","F",431
"665","Madyson","F",430
"666","Kimber","F",429
"667","Maryam","F",428
"668","Shayla","F",427
"669","Isabela","F",426
"670","Sariah","F",426
"671","Simone","F",426
"672","Pearl","F",424
"673","Paola","F",423
"674","Perla","F",423
"675","Sherlyn","F",423
"676","Mae","F",419
"677","Patricia","F",419
"678","Ansley","F",417
"679","Brenna","F",417
"680","Laney","F",417
"681","Aliana","F",415
"682","Jazlynn","F",415
"683","Lailah","F",413
"684","Giana","F",412
"685","Lindsay","F",412
"686","Natalee","F",412
"687","Armani","F",411
"688","Siena","F",411
"689","Nancy","F",409
"690","Frances","F",408
"691","Lilianna","F",408
"692","Raquel","F",408
"693","Tori","F",408
"694","Halle","F",407
"695","Janessa","F",406
"696","Willa","F",406
"697","Chaya","F",405
"698","Leanna","F",405
"699","Kynlee","F",404
"700","Ellen","F",402
"701","Alma","F",399
"702","Bryanna","F",399
"703","Elianna","F",399
"704","Christine","F",398
